"Estado"	"Datos"	"Serie"	"Lavoura"
"Minas Gerais"	2019-09-01	56.9	"Fabricação de Borracha (Indice Anual)"
"Minas Gerais"	2019-10-01	NA	"Fabricação de Borracha (Indice Anual)"
"Minas Gerais"	2019-11-01	NA	"Fabricação de Borracha (Indice Anual)"
"Minas Gerais"	2019-12-01	71.4	"Fabricação de Borracha (Indice Anual)"
"Minas Gerais"	2020-01-01	45.5	"Fabricação de Borracha (Indice Anual)"
"Minas Gerais"	2020-02-01	NA	"Fabricação de Borracha (Indice Anual)"
"Minas Gerais"	2020-03-01	NA	"Fabricação de Borracha (Indice Anual)"
"Minas Gerais"	2020-04-01	NA	"Fabricação de Borracha (Indice Anual)"
"Minas Gerais"	2020-05-01	NA	"Fabricação de Borracha (Indice Anual)"
"Minas Gerais"	2020-06-01	76	"Fabricação de Borracha (Indice Anual)"
"Minas Gerais"	2020-07-01	51.5	"Fabricação de Borracha (Indice Anual)"
"Minas Gerais"	2020-08-01	84	"Fabricação de Borracha (Indice Anual)"
"Minas Gerais"	2020-09-01	99.9	"Fabricação de Borracha (Indice Anual)"
"Minas Gerais"	2020-10-01	104.3	"Fabricação de Borracha (Indice Anual)"
"Minas Gerais"	2020-11-01	87.9	"Fabricação de Borracha (Indice Anual)"
"Minas Gerais"	2020-12-01	77.8	"Fabricação de Borracha (Indice Anual)"
"São Paulo"	2018-02-01	76.8	"Fabricação de Borracha (Indice Anual)"
"São Paulo"	2018-03-01	NA	"Fabricação de Borracha (Indice Anual)"
"São Paulo"	2018-04-01	76.8	"Fabricação de Borracha (Indice Anual)"
"São Paulo"	2018-05-01	53.1	"Fabricação de Borracha (Indice Anual)"
"São Paulo"	2018-06-01	90	"Fabricação de Borracha (Indice Anual)"
"São Paulo"	2018-07-01	NA	"Fabricação de Borracha (Indice Anual)"
"São Paulo"	2018-08-01	85.3	"Fabricação de Borracha (Indice Anual)"
"São Paulo"	2018-09-01	69.3	"Fabricação de Borracha (Indice Anual)"
"São Paulo"	2018-10-01	NA	"Fabricação de Borracha (Indice Anual)"
"São Paulo"	2018-11-01	NA	"Fabricação de Borracha (Indice Anual)"
"São Paulo"	2018-12-01	87.1	"Fabricação de Borracha (Indice Anual)"
"São Paulo"	2019-01-01	NA	"Fabricação de Borracha (Indice Anual)"
"São Paulo"	2019-02-01	79.6	"Fabricação de Borracha (Indice Anual)"
"São Paulo"	2019-03-01	100.1	"Fabricação de Borracha (Indice Anual)"
"São Paulo"	2019-04-01	85.8	"Fabricação de Borracha (Indice Anual)"
"São Paulo"	2019-05-01	69	"Fabricação de Borracha (Indice Anual)"
"São Paulo"	2019-06-01	86.7	"Fabricação de Borracha (Indice Anual)"
"São Paulo"	2019-07-01	89	"Fabricação de Borracha (Indice Anual)"
"São Paulo"	2019-08-01	87.4	"Fabricação de Borracha (Indice Anual)"
"São Paulo"	2019-09-01	71.2	"Fabricação de Borracha (Indice Anual)"
"São Paulo"	2019-10-01	83.7	"Fabricação de Borracha (Indice Anual)"
"São Paulo"	2019-11-01	69.2	"Fabricação de Borracha (Indice Anual)"
"São Paulo"	2019-12-01	87.6	"Fabricação de Borracha (Indice Anual)"
"São Paulo"	2020-01-01	76.8	"Fabricação de Borracha (Indice Anual)"
"São Paulo"	2020-02-01	60.7	"Fabricação de Borracha (Indice Anual)"
"São Paulo"	2020-03-01	NA	"Fabricação de Borracha (Indice Anual)"
"São Paulo"	2020-04-01	NA	"Fabricação de Borracha (Indice Anual)"
"São Paulo"	2020-05-01	NA	"Fabricação de Borracha (Indice Anual)"
"São Paulo"	2020-06-01	83.6	"Fabricação de Borracha (Indice Anual)"
"São Paulo"	2020-07-01	NA	"Fabricação de Borracha (Indice Anual)"
"São Paulo"	2020-08-01	83.6	"Fabricação de Borracha (Indice Anual)"
"São Paulo"	2020-09-01	72.5	"Fabricação de Borracha (Indice Anual)"
"São Paulo"	2020-10-01	84.7	"Fabricação de Borracha (Indice Anual)"
"São Paulo"	2020-11-01	NA	"Fabricação de Borracha (Indice Anual)"
"São Paulo"	2020-12-01	88.5	"Fabricação de Borracha (Indice Anual)"
